max_headset_vel_z,max_headset_pos_z,max_controller_left_vel_x,max_controller_left_vel_y,max_controller_left_vel_z,min_controller_left_vel_x,min_controller_left_vel_y,min_controller_left_vel_z,max_controller_left_pos_x,max_controller_left_pos_y,max_controller_left_pos_z,mean_controller_left_pos_x,mean_controller_left_pos_y,mean_controller_left_pos_z,min_controller_left_pos_x,min_controller_left_pos_y,min_controller_left_pos_z,diff_controller_left_pos_z,user
0.2888701,0.5269849,3.310931,4.960065,2.770629,-3.664742,-4.77967,-2.215852,-0.01156922,0.3178069,0.2193415,-0.32195404730411686,-0.1480700078007968,0.02811919766507304,-0.5671252,-0.7863219,-0.1337225,0.353064,QUI
0.2391015,-0.06139672,2.885756,4.903612,2.258178,-3.473249,-4.561297,-2.398005,0.04001875,0.3647535,-0.3622613,-0.253469397297035,-0.15866702102291105,-0.5884566009433961,-0.5237753,-0.8668923,-0.841935,0.4796737,URU
0.1697819,0.02544522,2.567551,4.826964,2.147703,-3.061479,-4.62783,-2.467325,-0.07892597,0.3650742,-0.24219,-0.4361091032258065,-0.1617400057782258,-0.4439957575268817,-0.6870295,-0.8518624,-0.7066569,0.4644669,URU
0.1707264,1.029102,3.639488,4.960424,2.445938,-3.33779,-4.839809,-2.350507,0.3528604,0.2372013,0.8299859,0.054227271360201515,-0.2186042377959698,0.5534810220403023,-0.217317,-0.8219292,0.3590274,0.47095850000000006,QUI
0.1690994,-0.1174741,2.963671,4.963362,2.218249,-3.374409,-4.404122,-2.837111,0.008093737,0.4034634,-0.374594,-0.2762917518631579,-0.12024521207377631,-0.5938221967105263,-0.5147266,-0.8409286,-0.9173601,0.5427661,URU
0.2417637,0.7326423,3.749176,5.242005,2.549162,-3.930923,-5.457041,-2.121982,0.08191824,0.238466,0.5709881,-0.21060493715583553,-0.21172943816710876,0.3779639580901856,-0.4691133,-0.7707898,0.2118769,0.35911119999999996,QUI
0.2527846,0.6146367,3.409177,5.462581,1.76149,-4.013322,-5.499196,-1.355506,-0.5855184,0.4062496,0.6966422,-1.0139240203434612,-0.09100223918097755,0.5279655766182298,-1.265906,-0.8871208,0.402505,0.2941372,CAR
0.2172574,0.4995766,3.682071,5.265283,1.51393,-3.918465,-5.811734,-1.835919,-0.5807078,0.3841314,0.5574442,-1.0052427351604278,-0.10156463924652406,0.28252431697860964,-1.232967,-0.8360455,0.1210853,0.43635889999999994,CAR
0.2701965,0.5651747,3.536279,5.014339,2.36889,-3.26008,-5.160131,-2.131829,-0.1220631,0.2838702,0.3365108,-0.4303563647783251,-0.180989071876601,0.023607120317241385,-0.6956391,-0.8072223,-0.2212762,0.557787,QUI
0.4145349,-2.493392,2.990302,5.004866,2.005683,-3.775515,-4.426784,-1.354672,-0.04687532,0.5864455,-2.427265,-0.3615180916732543,0.07926831826745719,-2.640802434782609,-0.6244331,-0.6542923,-2.86494,0.43767500000000004,URU
0.240106,0.5908794,3.447261,5.011827,1.450687,-4.052982,-5.433169,-1.571257,-0.6050553,0.3724052,0.7737259,-0.9993860352393619,-0.08610905143617022,0.5055315510638299,-1.242202,-0.8802856,0.3303124,0.44341349999999996,CAR
0.1768355,1.339225,3.50802,5.252279,1.077403,-4.108859,-5.644049,-1.115838,-0.4531849,0.3551875,1.352628,-0.9052559327365728,-0.1174733190420716,1.115548066624041,-1.190436,-0.8759111,0.9486688,0.40395919999999996,CAR
0.2890478,0.6427477,2.951562,4.839509,2.255385,-3.115139,-5.143117,-2.10752,-0.05160235,0.2307682,0.3795687,-0.33179876606141523,-0.25076271160040053,0.18530963465140188,-0.539708,-0.769129,-0.04415666,0.42372536,QUI
0.3022568,-0.4249257,3.320913,5.869274,1.618588,-4.02845,-4.716068,-0.8242437,-0.2483273,0.4270485,-0.5970374,-0.6170451971962617,-0.14262958507343124,-0.7321606955941256,-0.8831193,-0.8590028,-0.8863405,0.2893030999999999,URU
0.2862814,-2.117478,2.6734,4.888479,1.10702,-3.562963,-4.484239,-1.534814,-0.1573417,0.5703891,-2.28508,-0.464242128021978,0.052145936005494505,-2.5268789945054944,-0.7502772,-0.6391686,-2.763607,0.47852700000000015,URU
0.2866966,0.6799334,2.998078,4.744341,2.83302,-3.563829,-4.634344,-2.752058,-0.005508691,0.1919647,0.8520986,-0.31709187843083003,-0.24785918022990777,0.32564398448757575,-0.6931329,-0.7301584,-8.568913e-05,0.85218428913,QUI
0.3196193,0.74401,3.482823,5.116179,1.740519,-3.954565,-6.033756,-1.79701,-0.5902602,0.384552,0.773031,-1.0561389667532466,-0.10081833233506492,0.43679528493506503,-1.28618,-0.9465488,0.1393657,0.6336653,CAR
0.2838982,-0.9184422,3.335472,5.087453,1.418553,-3.825859,-5.333725,-1.075265,-0.4224232,0.3895963,-0.8618435,-0.800825967670157,-0.05504092575408377,-1.1487866437172773,-1.050647,-0.794392,-1.352136,0.4902925,CAR
0.2028982,-0.06912088,4.006648,4.784888,1.825747,-3.748157,-5.436065,-1.267111,-0.5123621,0.3758585,-0.04154383,-0.9558368662303665,-0.12787185092146594,-0.19713740760471204,-1.221142,-0.8671129,-0.3574243,0.31588046999999997,CAR
0.3037139,-0.325485,3.545517,5.397913,1.553374,-3.845666,-5.673918,-1.243193,-0.6284602,0.3945477,-0.2159638,-1.0070645500655306,-0.051252624047444295,-0.4295967325032765,-1.281103,-0.7721399,-0.5907563,0.3747925,CAR
0.3086947,1.056221,3.628228,5.429912,2.673152,-3.517963,-5.518451,-2.344009,0.2918756,0.2282766,0.9085387,0.060344326459709385,-0.24397560316122852,0.6254403040951123,-0.1565965,-0.8026344,0.3568579,0.5516808,QUI
0.2004115,-2.400801,2.911414,5.116831,1.803952,-3.237934,-4.485245,-1.434819,-0.1607561,0.6281916,-2.297563,-0.4671562323014805,0.08781431689542396,-2.4777444104979813,-0.6846241,-0.6169282,-2.66607,0.36850700000000014,URU
0.219205,1.008223,4.144436,4.332825,1.923852,-3.509247,-4.777093,-1.632208,0.2537427,0.1569764,0.9204065,0.041450400136287265,-0.2635847999974824,0.6737924539295392,-0.1791458,-0.7765148,0.4860089,0.4343976,QUI
0.137067,1.156911,3.143169,4.603323,2.32265,-3.097445,-5.097231,-1.765705,0.378614,0.2060424,0.9613557,0.06587024124051075,-0.21363741782963708,0.7327876259408602,-0.1413132,-0.7971461,0.5563196,0.4050361,QUI
0.2366508,-0.4394708,3.391728,5.020669,1.585913,-4.099763,-5.421307,-1.25875,-0.4803692,0.4381539,-0.3619663,-0.8454138929824561,-0.026122755094601897,-0.5564099418353576,-1.076429,-0.7549037,-0.6946563,0.33269,CAR
0.2065203,0.05063176,2.615313,4.675484,1.431398,-3.100154,-4.363052,-1.567164,-0.1563789,0.3420155,-0.1926139,-0.44720140040376855,-0.18580254634737547,-0.3983819600269179,-0.7256041,-0.851199,-0.6719751,0.47936120000000004,URU
0.1807979,-2.092905,3.465066,5.169055,1.854603,-4.379417,-4.733885,-1.638785,-0.2390334,0.5882102,-1.907092,-0.586484115860215,0.032315235313844094,-2.152278995967742,-0.883023,-0.6948771,-2.406552,0.49946,URU
0.4502474,1.044158,3.741848,5.464066,2.543102,-4.652269,-5.311056,-2.832852,0.3054849,0.2230821,0.8873807,0.029990414365649868,-0.22691208577466843,0.6170828293103447,-0.3710799,-0.7653249,0.3493227,0.538058,QUI
0.2020104,-1.894457,3.303842,4.97519,2.550782,-3.600554,-4.568704,-2.060608,-0.3705419,0.5597993,-1.591855,-0.654934760704607,0.03741624594850948,-1.9053584986449863,-0.9400811,-0.7098204,-2.149048,0.557193,URU
0.2428621,-0.1982741,3.442042,5.417824,1.315465,-4.12316,-5.431942,-0.934913,-0.3570218,0.5559121,-0.2010753,-0.811163392063492,-0.017850953652116402,-0.3527051716931217,-1.114286,-0.7759308,-0.6166351,0.4155598,CAR
