time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
164.752,-0.01278786,0.1755532,-0.01028433,-0.3460447,-0.09589686,-0.04359158,0.08843042,0.377903,0.07078769,356.0725,0.5822389,1.260844,-0.06000726,-0.0320241,-0.3006955,-0.8472436,-0.9451203,0.4420335,-0.0576878,-0.1680695,0.07429932,31.02596,10.67031,7.599741,-0.03257383,0.277798,0.08127631,0.3710801,-0.2437917,-0.4562948,0.1471525,-0.05302016,0.2044349,3.07736,346.1158,13.87022
178.833,-0.02902602,0.2722654,-0.0002768422,-0.1914382,-0.08632305,0.005249364,0.08759999,0.3837763,0.07108829,355.9836,0.6340495,1.21105,-0.02693426,0.105718,-0.2278603,-0.6349569,-0.9184545,0.1963651,-0.05779713,-0.1631858,0.0734086,31.2797,11.32808,7.507039,0.04263136,0.2664081,-0.006818176,-0.1967322,-0.4431545,-0.1481468,0.1490331,-0.04920192,0.2024454,3.900515,346.473,13.01449
192.811,-0.04500756,0.3523349,0.008956908,-0.03526971,-0.06579088,0.02308821,0.0866307,0.3900506,0.07142214,355.7853,0.6588759,1.183907,-6.923545e-05,0.2198381,-0.1535095,-0.5113845,-0.8315809,-0.04511475,-0.05778946,-0.1574946,0.07354597,31.47614,12.08592,7.688922,0.1073526,0.2465062,-0.08852274,-0.5972428,-0.6275809,-0.008403685,0.1515591,-0.04575899,0.1992479,4.882628,346.9256,12.23044
206.756,-0.05955053,0.410511,0.01530592,0.08542632,-0.04148046,0.03358152,0.08547725,0.3964826,0.0717176,355.5656,0.6646699,1.139755,0.01778403,0.308595,-0.07783545,-0.4394266,-0.6299676,-0.2706271,-0.05777445,-0.1514247,0.07470049,31.56579,12.82071,8.222894,0.1660546,0.2118391,-0.1589427,-0.805644,-0.8475593,-0.09495538,0.1543541,-0.043198,0.1955971,5.99108,347.6637,11.84836
220.096,-0.07179071,0.4453697,0.01819813,0.1609349,-0.01333586,0.0164162,0.08425421,0.402824,0.0719096,355.3592,0.6318525,1.169232,0.02967559,0.3610184,-0.01321328,-0.4426548,-0.4348316,-0.4503359,-0.05765055,-0.1454616,0.07658266,31.68996,13.57441,8.978277,0.2149099,0.1649712,-0.2110158,-0.920406,-1.068262,-0.2522604,0.1576252,-0.04156154,0.1914302,7.19438,348.6327,11.6922
234.333,-0.08157754,0.4559065,0.01738941,0.2062605,0.01729627,-0.01844562,0.08298475,0.408623,0.07202046,355.1451,0.5629358,1.237347,0.04181681,0.407654,0.07505124,-0.3559374,-0.2822772,-0.5744754,-0.05736269,-0.1391898,0.0801346,31.59226,14.27586,9.70222,0.2785014,0.07943541,-0.272525,-1.045234,-1.37117,-0.4796317,0.1617402,-0.04182071,0.1862102,8.678196,349.9968,11.72521
248.244,-0.08889096,0.4423737,0.01436744,0.2323699,0.04827345,-0.05031066,0.08165897,0.4136493,0.07208268,354.9313,0.4712425,1.310477,0.04701446,0.4329162,0.1536222,-0.1381379,-0.2911617,-0.5190976,-0.05689841,-0.1329848,0.08431175,31.3225,14.68978,9.75722,0.3281379,-0.009168781,-0.3251719,-1.148108,-1.579087,-0.6026805,0.166236,-0.04321328,0.1804469,10.1497,351.3677,11.68905
262.02,-0.09459969,0.4078951,0.00974175,0.2322603,0.07205448,-0.06286857,0.08024117,0.4178225,0.07203954,354.7678,0.380118,1.354296,0.05137417,0.4447472,0.2412025,0.1296119,-0.3998638,-0.3839721,-0.05628945,-0.1269705,0.08977441,30.94249,14.9329,9.320004,0.3662828,-0.09407513,-0.3712934,-1.224617,-1.714108,-0.7000264,0.1709188,-0.04577831,0.1742881,11.6406,352.7722,11.69883
276.098,-0.1006946,0.3561446,0.004316543,0.2254692,0.08517904,-0.02955784,0.07866684,0.4209175,0.07195085,354.5986,0.3124331,1.281247,0.05526712,0.4483654,0.3156615,0.3689437,-0.4859633,-0.3082843,-0.05571897,-0.1210993,0.09581229,30.44351,15.18878,8.808211,0.4039399,-0.2041764,-0.4227014,-1.317828,-1.825379,-0.8718773,0.1759248,-0.05035964,0.1674577,13.30299,354.3142,11.93303
290.148,-0.1067808,0.2852645,-0.001981374,0.2184722,0.1030995,0.03754668,0.07705535,0.4227958,0.07177373,354.434,0.2316362,1.124167,0.05997794,0.4490889,0.3752454,0.5537783,-0.4949203,-0.3396387,-0.05515016,-0.1154872,0.1022539,29.77426,15.53689,8.469465,0.430883,-0.3176274,-0.4715886,-1.401546,-1.861503,-1.042585,0.1809689,-0.05637847,0.1600673,15.01841,355.8549,12.34118
303.793,-0.110909,0.2070982,-0.007646786,0.2167306,0.1180506,0.08132096,0.07545159,0.4233295,0.07152791,354.2584,0.146093,0.9980189,0.06907624,0.4465165,0.4375792,0.7161887,-0.4567512,-0.4967486,-0.05453464,-0.110193,0.1096262,28.85052,16.09705,8.405481,0.4435125,-0.4277469,-0.516978,-1.445547,-1.760866,-1.111973,0.1861706,-0.06394509,0.1522267,16.61239,357.1325,12.7591
318.064,-0.1131768,0.1199092,-0.01372942,0.2311645,0.1285931,0.09998971,0.07388432,0.4224513,0.0712167,354.0406,0.05525088,0.8954381,0.0802536,0.446361,0.4915286,0.9053077,-0.3862362,-0.7314782,-0.05386741,-0.1051302,0.1173795,27.59618,16.80199,8.536172,0.455208,-0.5376707,-0.5567131,-1.472601,-1.682642,-1.098503,0.1917467,-0.07310907,0.1440452,18.14167,358.3434,13.07653
331.924,-0.1137311,0.02732091,-0.01948948,0.2364569,0.1297937,0.1051715,0.07234676,0.4203456,0.07082608,353.8505,359.9803,0.8036997,0.09294659,0.4437218,0.5341588,1.111221,-0.3695795,-0.9675526,-0.05306964,-0.1005135,0.1253542,26.07877,17.62528,8.653648,0.4700484,-0.6532269,-0.5909927,-1.558226,-1.679048,-1.000616,0.1977271,-0.08396663,0.1356816,19.79307,359.5273,13.14932
345.88,-0.1127073,-0.06716818,-0.02677701,0.216738,0.1166119,0.1085457,0.07084899,0.4169993,0.07017153,353.7251,359.9405,0.7042243,0.1060917,0.4336128,0.5712953,1.409312,-0.4537545,-1.107286,-0.05207907,-0.09645249,0.1337441,24.3076,18.40788,8.385248,0.4961176,-0.7750025,-0.6214326,-1.675576,-1.809753,-0.9623847,0.2041956,-0.09653203,0.127112,21.63319,0.9977537,13.18665
359.624,-0.1109041,-0.1626975,-0.03596558,0.1889286,0.0880912,0.1171686,0.06940261,0.4122942,0.06941006,353.6185,359.9468,0.5915568,0.1146627,0.4185408,0.5900958,1.650555,-0.6006473,-1.09534,-0.05099809,-0.09268505,0.1419462,22.61086,19.07659,7.72405,0.5309693,-0.8888984,-0.6515769,-1.753562,-2.010841,-1.004472,0.2109784,-0.1100368,0.1181386,23.52797,2.84989,13.3343
373.741,-0.1087017,-0.2569489,-0.04500878,0.1321928,0.05596859,0.1338334,0.06799709,0.4064711,0.06857306,353.6207,359.9835,0.4539067,0.1238864,0.3917777,0.6035423,1.8832,-0.7988598,-1.015047,-0.04977057,-0.08956727,0.1503467,20.89708,19.72733,6.689641,0.5603105,-0.983587,-0.6840338,-1.833294,-2.126786,-1.053056,0.2178224,-0.1240601,0.1087587,25.44457,4.741955,13.59441
387.645,-0.1066968,-0.349889,-0.05317091,0.03038039,0.02675441,0.1480202,0.06660348,0.3998792,0.06770829,353.7702,0.02828383,0.3194591,0.1309753,0.3603175,0.6119183,2.026223,-0.9446881,-0.9564875,-0.04862013,-0.08692412,0.1589182,19.22132,20.40574,5.63957,0.5745217,-1.051664,-0.71811,-2.008398,-2.096385,-1.168461,0.2245137,-0.137949,0.09919712,27.58112,6.610789,14.21049
401.425,-0.1052773,-0.4199429,-0.05791764,-0.08878066,0.009114346,0.1495313,0.06517524,0.3929558,0.06685412,354.0266,0.05679346,0.2086754,0.1270764,0.3271635,0.6196079,2.150701,-0.9116433,-0.951834,-0.04776452,-0.08494906,0.1674571,17.37641,20.89272,4.727495,0.5766426,-1.051336,-0.739613,-1.886861,-1.901872,-1.276237,0.2310606,-0.1499017,0.08962484,29.06262,8.398973,15.09066
415.562,-0.102584,-0.4646633,-0.06024698,-0.2039467,0.013197,0.1321977,0.06386322,0.3863457,0.06598458,354.3511,0.03612928,0.1383211,0.1139898,0.2990111,0.6220115,2.207988,-0.7614398,-0.9329044,-0.04701264,-0.08318485,0.1757586,15.55079,21.13079,3.933103,0.5717857,-0.9789076,-0.7396255,-1.427293,-1.560241,-1.411178,0.2372536,-0.1601494,0.08005208,29.45276,10.12854,16.25294
429.486,-0.09792966,-0.478805,-0.06084366,-0.2343077,0.02547459,0.07550089,0.06270693,0.3803495,0.06516235,354.514,359.9773,0.1861458,0.09564748,0.2794151,0.6189962,2.216503,-0.5204841,-0.9281154,-0.04670417,-0.08129737,0.183716,13.72043,21.10613,3.283551,0.5658258,-0.8895209,-0.7239513,-1.098864,-1.418935,-1.439606,0.243644,-0.1694599,0.07143522,29.78629,11.8548,17.13188
443.504,-0.09077044,-0.4639609,-0.0585743,-0.162162,0.05009703,0.0118518,0.06174861,0.375017,0.06459462,354.4667,359.8798,0.2624148,0.08657198,0.2661105,0.6023626,2.233796,-0.448829,-0.8561761,-0.04549182,-0.07947749,0.1912692,12.03236,21.16973,2.500146,0.5572898,-0.8059976,-0.6919394,-1.060927,-1.573953,-1.356169,0.2495324,-0.1772948,0.06437854,30.72356,13.74933,17.60252
457.756,-0.08226353,-0.4323556,-0.05157172,-0.0355844,0.07472754,-0.04384053,0.06084765,0.3700328,0.06425332,354.275,359.7634,0.3680079,0.08557379,0.2753586,0.5706026,2.425028,-0.4681728,-0.7887166,-0.04450206,-0.07689466,0.1977062,10.03609,21.25572,1.317563,0.5303816,-0.7031144,-0.6346597,-0.9821278,-1.749987,-1.169743,0.2547293,-0.1830225,0.05848551,31.68109,15.43832,17.61574
471.604,-0.07307331,-0.38466,-0.04524208,-0.03884849,0.1060042,-0.05634778,0.06003525,0.366191,0.06374059,354.4177,359.6281,0.3735277,0.08738792,0.2849109,0.5217334,2.547572,-0.5505213,-0.7465478,-0.04362505,-0.07471507,0.2032854,8.050339,21.50299,0.1053499,0.473043,-0.5699227,-0.5551843,-0.7077296,-1.713193,-0.8802533,0.2584321,-0.1864788,0.05356953,32.1641,16.47286,17.20702
485.629,-0.06524373,-0.3201387,-0.04164619,-0.18925,0.1436095,-0.03581863,0.05925567,0.3641191,0.0631451,354.8793,359.461,0.3372579,0.08208688,0.2705237,0.4629308,2.383561,-0.5862002,-0.6034212,-0.04315769,-0.07298407,0.2080402,6.657187,21.75736,359.0825,0.3805887,-0.423606,-0.4590297,-0.3584732,-1.360705,-0.488305,0.2608167,-0.1883904,0.04990129,32.17738,16.5,16.55522
499.475,-0.05759304,-0.2278709,-0.03890174,-0.3871581,0.1839282,-0.04856162,0.05865134,0.364256,0.06262193,355.4888,359.2386,0.3966974,0.05735033,0.2345192,0.4006316,1.995182,-0.4174067,-0.3045734,-0.0431839,-0.07138457,0.2116539,6.064615,21.59558,358.2489,0.2770403,-0.2887705,-0.3530551,-0.1396397,-0.7864103,-0.2321646,0.261982,-0.1892611,0.04787773,31.93601,16.08007,16.35685
513.476,-0.04847996,-0.109168,-0.03326215,-0.5123519,0.2234281,-0.09686227,0.05827793,0.3664215,0.06238999,355.991,358.9756,0.5348725,0.01840292,0.1942118,0.3353089,1.52417,-0.08455066,0.00556365,-0.04356171,-0.0699912,0.2142195,6.013835,20.96577,357.6592,0.176637,-0.1790657,-0.2422676,-0.1309945,-0.1705461,-0.1406854,0.2619911,-0.1892901,0.04752043,31.71251,15.59626,16.80829
527.474,-0.03684755,0.02500848,-0.02416702,-0.5333749,0.2519541,-0.1418349,0.05811054,0.3703439,0.06235244,356.3809,358.728,0.6635026,-0.0238552,0.161678,0.2688398,1.099816,0.3368329,0.3226239,-0.04401202,-0.06834409,0.2156617,6.318468,19.86217,357.1212,0.08228187,-0.09371355,-0.1284646,-0.25802,0.3179766,-0.08888202,0.2610102,-0.1884397,0.04888906,31.67714,15.07265,17.55615
541.119,-0.02336714,0.1542128,-0.01307931,-0.4728287,0.2625348,-0.1545144,0.05815175,0.3752251,0.06246707,356.637,358.5042,0.7427242,-0.06685829,0.1347285,0.1809525,0.6509792,0.7898636,0.6253485,-0.04472097,-0.06659672,0.215087,7.016397,18.37916,356.6869,-0.005051704,-0.01370953,-0.01245112,-0.3485431,0.6570819,-0.04757004,0.2591079,-0.1863269,0.05181221,31.64213,14.50352,18.30108
555.417,-0.008764461,0.2625771,-0.003524945,-0.4120398,0.2497935,-0.1185401,0.05840039,0.3808217,0.06257506,356.8899,358.343,0.7171138,-0.1022902,0.1155007,0.0861404,0.1738255,1.129325,0.5969982,-0.04590095,-0.06504919,0.2132109,7.699007,16.98981,356.869,-0.08999542,0.07787562,0.1060578,-0.2853281,0.9097076,0.02895386,0.2562326,-0.1827171,0.05615618,31.35781,13.7373,18.8075
569.088,0.006521067,0.3480671,0.004818933,-0.3432514,0.214765,-0.03740211,0.05895622,0.3871732,0.0628626,357.041,358.2448,0.6020662,-0.134039,0.09045199,-0.0189368,-0.4801285,1.404814,0.2156193,-0.04758135,-0.06407408,0.2100085,8.530354,15.78139,358.1651,-0.1684412,0.17941,0.2222954,-0.1072482,1.086688,0.08729332,0.252508,-0.1778231,0.06184475,30.77755,12.89936,19.1171
582.847,0.02230765,0.4130399,0.01401835,-0.2088661,0.1571119,0.0379721,0.05970041,0.3939501,0.06334671,356.9579,358.2337,0.478642,-0.155759,0.05426566,-0.1243598,-1.151682,1.599368,-0.3034744,-0.04924529,-0.06393109,0.2056846,9.507658,14.75898,0.2823062,-0.2434296,0.2826213,0.3328891,0.1321744,1.206339,0.1699645,0.2478616,-0.171769,0.06868474,29.96237,11.94441,19.18967
597.077,0.03720687,0.4573497,0.02358751,-0.0186859,0.08784851,0.09647473,0.06054013,0.40072,0.06392428,356.6554,358.2888,0.3450245,-0.1624012,0.004909943,-0.2237398,-1.686585,1.671494,-0.7309404,-0.05072954,-0.06469408,0.2002583,10.6022,13.93298,2.65939,-0.3218167,0.3750978,0.4312211,0.3363253,1.246361,0.3912615,0.2422584,-0.1648386,0.07653457,29.17073,10.67273,18.82016
611.035,0.04991034,0.4784027,0.03224993,0.2025166,0.02388269,0.1647591,0.06139188,0.4070124,0.06454567,356.1638,358.3837,0.1427967,-0.1567923,-0.06080107,-0.315702,-2.056989,1.616937,-0.9639903,-0.05203145,-0.06660406,0.1938523,11.83523,13.31227,4.9251,-0.404973,0.4566656,0.5158193,0.5613062,1.266428,0.7638775,0.2358823,-0.1574034,0.08508874,28.28233,8.926018,17.86708
624.625,0.05957757,0.4718583,0.03735595,0.376186,-0.01184074,0.1976094,0.0624267,0.4126747,0.06507419,355.6452,358.4457,0.00179647,-0.1455594,-0.1420979,-0.4017609,-2.271605,1.48074,-0.9623852,-0.05325694,-0.06985691,0.1863911,13.22835,12.80559,6.799765,-0.4870817,0.5231497,0.5854815,0.7577828,1.33751,1.168344,0.2288123,-0.1497253,0.09421702,27.23608,6.801923,16.60279
638.769,0.06727074,0.4427346,0.03801927,0.4783381,-0.03148387,0.1950039,0.06352425,0.4175357,0.06545608,355.1712,358.5085,359.9043,-0.1367392,-0.236214,-0.4824858,-2.385579,1.299094,-0.7520421,-0.05452155,-0.07436401,0.1780975,14.83603,12.33128,8.157561,-0.5575041,0.5740476,0.6426435,0.9179521,1.454842,1.47561,0.2212761,-0.1418894,0.1039288,26.0031,4.571398,15.33834
