time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
179.896,0.001735947,-0.02205832,-0.02113781,-0.2087183,-0.09739056,0.03380931,-0.07291029,0.3819096,1.665544,352.9034,4.177608,357.002,-2.007001,3.002796,0.1812882,-1.235139,1.038588,5.589638,-0.7987096,-0.1191785,1.870995,24.45735,300.5044,354.7336,2.020692,2.999293,-0.2110364,-3.00225,1.286454,-3.814301,0.7120498,-0.1154467,1.703406,32.61584,59.71761,358.2442,
193.638,0.002244066,-0.01976379,-0.01448451,-0.2053206,-0.08161791,-0.001714689,-0.07290256,0.3816197,1.665588,353.0488,4.207582,357.0791,-1.830062,3.248201,0.1223485,-1.132299,1.251336,5.789797,-0.8170129,-0.07228994,1.87188,20.07918,299.5669,357.1158,1.845638,3.221529,-0.2430043,-3.317871,1.04166,-3.739249,0.7311904,-0.06786226,1.699078,28.64725,61.35019,359.3116,
207.66,0.002029984,-0.01837669,-0.007170222,-0.2062301,-0.06304274,-0.007346641,-0.07290527,0.381354,1.66551,353.2193,4.232241,357.0992,-1.622755,3.428606,0.07802968,-1.109171,1.088391,5.751794,-0.8327987,-0.0249187,1.872182,15.71443,299.2012,358.9116,1.674667,3.405948,-0.2905951,-3.504596,0.4829133,-3.966926,0.7478442,-0.01958323,1.69434,24.35319,62.96713,359.3764,
221.72,0.00194789,-0.01780686,0.0001230387,-0.2132842,-0.04779198,0.003203728,-0.07288277,0.3811204,1.665694,353.403,4.263813,357.1014,-1.39235,3.575929,0.02982936,-1.387123,0.8172376,5.620127,-0.8455213,0.02325605,1.871713,11.14053,298.9687,359.862,1.479657,3.564474,-0.3340993,-3.593277,-0.101757,-4.144639,0.7607556,0.02998756,1.689612,19.9995,64.54349,359.0276,
235.479,0.00354423,-0.01804654,0.006977647,-0.2333914,-0.04058567,0.009731644,-0.07279742,0.3808571,1.665942,353.6163,4.298197,357.1297,-1.148679,3.677256,-0.0254765,-1.83478,0.6337647,5.302563,-0.8547425,0.07155797,1.870454,6.741076,298.6857,0.01101856,1.259018,3.680171,-0.3496354,-3.377323,-0.4024937,-4.346929,0.7699897,0.07979228,1.68531,15.67994,65.29247,358.1305,
249.558,0.005992871,-0.01778161,0.01290766,-0.2538446,-0.04603036,0.004963685,-0.07260084,0.3806602,1.666447,353.8491,4.355106,357.1778,-0.8988804,3.745235,-0.08679334,-2.258364,0.6069102,5.044682,-0.8611318,0.1199885,1.86831,2.304112,298.4531,359.876,0.9575395,3.790184,-0.3315404,-3.005895,-0.2913369,-4.653089,0.7741789,0.1301616,1.681422,11.13634,64.85322,356.9495,
263.463,0.008781009,-0.0169531,0.01970309,-0.2680237,-0.05488047,-0.01757367,-0.07248795,0.3804401,1.666808,354.0641,4.406659,357.2695,-0.6173679,3.78016,-0.1659735,-2.586318,0.7460951,4.799489,-0.8633447,0.1685851,1.864524,357.9286,298.1828,359.6201,0.6002069,3.863312,-0.2854179,-2.803657,0.09524412,-4.853365,0.7740239,0.180585,1.678282,6.46927,63.6694,356.2956,
277.192,0.01075924,-0.01578039,0.02543547,-0.2677291,-0.04887409,-0.02004676,-0.07234894,0.3802589,1.667247,354.2587,4.429538,357.3137,-0.4072578,3.774774,-0.2297246,-2.636245,0.9925562,4.609993,-0.8644471,0.2164621,1.86037,353.7614,297.8698,359.685,0.2954736,3.881811,-0.2531699,-3.085118,0.2317253,-4.804245,0.7712598,0.2298612,1.675315,1.70523,62.82423,356.6533,
291.333,0.01179125,-0.01399122,0.03114561,-0.2594003,-0.04084385,-0.01073153,-0.07219003,0.3801066,1.667796,354.4469,4.45711,357.3324,-0.1717512,3.74766,-0.300938,-2.562317,1.202904,4.4784,-0.861847,0.2638026,1.855037,349.7,297.6556,359.9193,0.01430884,3.84654,-0.2295457,-3.618909,0.08397105,-4.464112,0.7656827,0.2776102,1.672508,357.106,62.29417,358.0302,
305.265,0.01234671,-0.01299155,0.03537171,-0.2558277,-0.03081152,0.002161828,-0.07201332,0.3799071,1.668352,354.6519,4.477977,357.3445,0.05479487,3.703007,-0.3749395,-2.399622,1.435414,4.473487,-0.8568849,0.3094769,1.848943,345.5633,297.4318,0.4855769,-0.2326824,3.768711,-0.2285924,-4.098309,-0.4695681,-3.956637,0.75712,0.3245764,1.669562,352.7896,62.35866,359.9133,
319.061,0.01322668,-0.01322282,0.03832696,-0.2592509,-0.02478281,0.00477326,-0.07179584,0.3797638,1.66899,354.8633,4.494811,357.3792,0.2688133,3.638482,-0.4497738,-2.203784,1.718314,4.454477,-0.8493794,0.3539706,1.842137,341.4537,297.0437,1.240929,-0.4543514,3.667599,-0.2339279,-4.361053,-1.1578,-3.52482,0.7462116,0.3696624,1.666738,348.5424,62.63509,1.898841,
333.199,0.01456375,-0.01518656,0.0387708,-0.2768055,-0.01796188,-0.02036268,-0.07155031,0.3795024,1.669562,355.1051,4.491817,357.4885,0.475261,3.553681,-0.5214016,-1.971912,1.958975,4.415549,-0.8392097,0.3970116,1.834555,337.444,296.5842,2.198697,-0.6485406,3.542183,-0.2412321,-4.352474,-1.885331,-3.124737,0.7330358,0.413043,1.663962,344.468,63.15104,3.807537,
347.117,0.01554445,-0.01910066,0.03765837,-0.3006625,-0.009200289,-0.044847,-0.071299,0.3791658,1.670091,355.3694,4.479265,357.597,0.6806648,3.456529,-0.5893348,-1.77516,2.16221,4.47897,-0.8266108,0.4386545,1.826306,333.2724,296.1841,3.396205,-0.819442,3.395273,-0.2461233,-4.111411,-2.53597,-2.672614,0.7176048,0.4543711,1.661548,340.7925,63.91843,5.656815,
361.195,0.01604828,-0.02269211,0.03520698,-0.3169193,0.004132546,-0.03714221,-0.07107252,0.3787858,1.670473,355.6399,4.46316,357.6292,0.8751959,3.347083,-0.6449394,-1.627269,2.337493,4.598139,-0.8121721,0.4784109,1.817767,328.9124,295.9246,4.759827,-1.000151,3.249701,-0.2264539,-3.811384,-2.646966,-2.557466,0.6996483,0.4939253,1.65956,337.145,63.89025,7.060711,
374.753,0.01635362,-0.02544145,0.03204056,-0.3326495,0.00777235,-0.001576125,-0.07084282,0.3783981,1.670833,355.9307,4.475986,357.611,1.04988,3.216336,-0.6906969,-1.458393,2.522424,4.576434,-0.7958039,0.5162039,1.80878,324.7221,295.5703,6.163005,-1.184272,3.110189,-0.1970052,-3.606809,-2.51192,-2.678432,0.6800671,0.5313615,1.657533,333.332,63.11945,8.199287,
