time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
165.401,0.006859949,-0.001999313,0.005681586,-0.09973054,0.04127515,-0.04829028,0.1858364,0.07069405,-0.1830631,354.2769,357.4414,359.0515,-0.3032094,-0.02688644,-0.317587,-0.9589475,0.3600463,0.4139395,-0.04743358,-0.7051809,-0.2218517,69.5259,287.4379,298.7333,0.3080167,0.0105916,0.06545822,-0.197352,0.3507979,-0.3606068,0.3514706,-0.7136498,-0.1116763,66.25441,68.5567,77.03813
179.636,0.007824093,-0.002025091,0.00564436,-0.08673004,0.04342037,-0.0681894,0.185968,0.07067477,-0.1830013,354.3281,357.3899,359.1252,-0.3187642,-0.01134448,-0.3513621,-0.9441392,0.5417135,0.3807776,-0.05256536,-0.7047065,-0.2267991,70.18789,285.1025,296.7854,0.3689158,0.02109998,0.08504137,-0.3000157,0.490156,-0.310405,0.3577244,-0.713525,-0.109616,65.59895,69.47885,78.00654
193.562,0.008260056,-0.00158511,0.005388271,-0.07447391,0.0500881,-0.07044448,0.1860949,0.07066461,-0.1829329,354.3756,357.3298,359.1621,-0.3335893,0.0008749813,-0.374723,-0.9174255,0.6387424,0.2058749,-0.05812079,-0.7039748,-0.231734,70.83926,282.9229,294.5907,0.4293449,0.03301067,0.1085232,-0.3096157,0.5229763,-0.3583658,0.3648847,-0.7127146,-0.1070772,65.06759,70.35168,78.66811
207.344,0.00863445,-0.0006853369,0.004555931,-0.06960705,0.05639637,-0.06461886,0.1862238,0.07067846,-0.1828908,354.4325,357.2716,359.1881,-0.3651277,0.0213258,-0.3826792,-0.8073203,0.5017793,-0.136107,-0.06437629,-0.7029893,-0.2366966,71.06693,281.7541,292.7585,0.4973566,0.05024805,0.1388634,-0.2530137,0.562739,-0.4752586,0.3734258,-0.711861,-0.1039843,64.49083,71.12133,78.96398
221.426,0.009003336,0.0001893038,0.003481698,-0.06538607,0.05702564,-0.05441515,0.1863555,0.07069834,-0.1828703,354.4828,357.2264,359.2037,-0.4096867,0.04622164,-0.3834555,-0.6908051,0.2852912,-0.4859235,-0.07128766,-0.7013916,-0.2418261,70.9988,281.2403,291.2268,0.5765634,0.07620657,0.1734286,-0.1885399,0.6838956,-0.6392664,0.3829882,-0.7102666,-0.1003801,63.66345,71.87611,79.02745
235.406,0.009343338,0.0008434018,0.00251923,-0.05095466,0.05468363,-0.04029891,0.186493,0.07072154,-0.1828613,354.4958,357.1894,359.2067,-0.4610332,0.0742669,-0.392458,-0.6606615,0.1515463,-0.679959,-0.07915075,-0.6995194,-0.2473589,70.90585,280.4312,289.4902,0.6616897,0.1085296,0.2124998,-0.1375231,0.8701113,-0.8012963,0.3935487,-0.7083561,-0.09621662,62.56728,72.55116,78.89092
249.503,0.01009651,0.00250443,0.001419945,-0.03134994,0.0540355,-0.03357254,0.1866534,0.07079804,-0.1828704,354.4896,357.1406,359.2265,-0.5193167,0.1028066,-0.411172,-0.7422816,0.086437,-0.6481669,-0.0879022,-0.6974577,-0.2529511,70.76402,278.64,287.1753,0.7452223,0.1471163,0.2519203,-0.109151,1.07061,-0.9260164,0.4050517,-0.7057886,-0.09158056,61.28721,73.09739,78.59711
263.201,0.01056149,0.004250241,0.0006833104,-0.007808875,0.05325032,-0.03289035,0.1868125,0.0709025,-0.1828793,354.4571,357.0935,359.2552,-0.5816796,0.129688,-0.4301943,-0.8438653,0.03331035,-0.4511796,-0.09741903,-0.6948465,-0.2588806,70.4953,276.2945,284.7583,0.8251964,0.1923601,0.2914409,-0.1117861,1.290215,-1.006166,0.4173411,-0.7025918,-0.08651278,59.79575,73.49357,78.18546
277.296,0.01063368,0.006084865,-0.0007405872,0.01004325,0.05543105,-0.02902178,0.1869544,0.07104318,-0.1829323,354.4297,357.0412,359.2696,-0.6463655,0.1624827,-0.4481397,-0.9953439,-0.03500199,-0.2775498,-0.107837,-0.6917507,-0.264649,70.05433,273.4375,281.9438,0.8958337,0.2416091,0.3271939,-0.1296536,1.454192,-1.077152,0.4302287,-0.698669,-0.08097528,58.24847,73.85258,77.71191
291.214,0.01043437,0.00660624,-0.00197103,0.02059157,0.05754611,-0.02707447,0.1870739,0.07116759,-0.1830094,354.4037,356.9868,359.2881,-0.7124366,0.1984426,-0.451499,-1.026197,-0.1362036,-0.1997789,-0.1190979,-0.6879975,-0.2702968,69.49223,271.3642,279.8213,0.9558273,0.291807,0.3606157,-0.07039438,1.500898,-1.244182,0.4439438,-0.6940803,-0.07489309,56.85712,74.23188,76.91518
