time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
165.286,-0.01443649,-0.00195949,0.006471692,-0.00416759,0.0178397,-0.008979402,0.1855076,0.06541421,-0.2405843,358.4411,354.6768,1.226376,-0.02900159,-0.7354079,0.07696883,0.403615,-0.7715229,-1.413575,-0.06756859,-0.1789537,0.01199458,335.2809,313.0259,17.47979,-0.3139293,0.5746924,-0.2587156,0.834481,-0.9771827,-1.343803,0.3771365,0.02516875,0.04193491,316.8772,15.04113,10.74414
179.597,-0.01135903,-0.002546141,0.007122547,-0.02519001,0.02242597,-0.02991057,0.1854146,0.06539091,-0.2404648,358.5219,354.6465,1.284854,-0.0065328,-0.7506133,0.07125358,0.4872201,-0.8738217,-1.392356,-0.06627563,-0.1885476,0.01226913,336.6576,313.0042,18.0928,-0.3499005,0.5585812,-0.2671216,0.7590678,-0.7912696,-1.479017,0.3724808,0.03145453,0.03906018,315.7388,13.66187,11.98493
193.641,-0.007735861,-0.005602653,0.007143816,-0.05297453,0.03053147,-0.06116937,0.1853949,0.06524847,-0.2403643,358.6293,354.6013,1.372234,0.03528069,-0.7434238,0.07114655,0.3362973,-0.9640577,-1.130892,-0.06479283,-0.1976351,0.01289823,337.5042,313.5903,18.19479,-0.385996,0.5277338,-0.2524351,0.4849341,-0.8071453,-1.504648,0.3672014,0.03731323,0.03630796,315.1839,12.06967,13.78769
207.416,-0.004757198,-0.007870151,0.007741517,-0.07520102,0.03266574,-0.06483101,0.1854091,0.06507736,-0.2402433,358.7217,354.5725,1.385915,0.07171056,-0.728931,0.07553029,0.1397093,-0.9872324,-0.9205923,-0.06320183,-0.2066105,0.01366044,338.2074,314.2608,18.03487,-0.4200762,0.4839012,-0.2219244,0.1091301,-0.8975809,-1.496681,0.361857,0.04285445,0.0343326,315.1589,10.19989,15.9804
220.932,-0.002682928,-0.00657166,0.009578985,-0.07015514,0.03300393,-0.03654213,0.1854273,0.06501746,-0.2400619,358.7421,354.5503,1.341369,0.09010667,-0.727262,0.0822783,-0.05751533,-0.9586682,-1.040414,-0.06161186,-0.2156254,0.01451231,339.4288,314.6393,17.68517,-0.4462286,0.4452446,-0.1973292,-0.08126996,-1.094824,-1.476882,0.3562885,0.04818827,0.03203385,315.1374,8.441829,18.40249
234.964,-0.0006237937,-0.002984346,0.01190518,-0.04185755,0.03736493,-0.01116658,0.1854864,0.06509675,-0.239813,358.7091,354.5116,1.321339,0.09232961,-0.7337543,0.07774137,-0.0857164,-0.8852115,-1.250905,-0.06009657,-0.2246487,0.01490859,340.8835,314.6675,17.58251,-0.4570336,0.4312753,-0.2013038,0.1159423,-1.219147,-1.471919,0.3509064,0.0535637,0.02923056,314.4448,7.071308,20.59054
249.034,0.001724944,-0.00022594,0.01381066,-0.02360019,0.03861932,0.0003038124,0.1855859,0.06519515,-0.2395458,358.7087,354.4798,1.312851,0.08847573,-0.7485262,0.05581802,0.1417511,-0.8095031,-1.5308,-0.0584322,-0.2340563,0.01465433,342.608,314.3094,18.05918,-0.4536334,0.4245171,-0.2242278,0.5639924,-1.211686,-1.425615,0.3456579,0.05821228,0.02636756,313.0544,6.219283,22.29885
262.858,0.004380004,0.0008529642,0.01435753,-0.02653202,0.03229569,0.005429365,0.1857234,0.06525201,-0.23932,358.7496,354.4696,1.298422,0.08686896,-0.7622513,0.02795166,0.5392604,-0.7530002,-1.766971,-0.05655287,-0.243112,0.01428593,344.4589,313.8001,19.1048,-0.4494993,0.4055904,-0.2287755,0.7217014,-1.143153,-1.32953,0.3402475,0.06248192,0.02396877,312.065,5.326624,23.85892
276.927,0.007181096,-0.0005339924,0.01386005,-0.03776319,0.02724793,-0.002215652,0.1858992,0.06520885,-0.2391397,358.8052,354.453,1.313274,0.1076683,-0.7483385,0.01491265,0.8258635,-0.7749675,-1.702429,-0.05378859,-0.2515745,0.01423014,345.9105,313.6759,20.21549,-0.4532803,0.3692806,-0.2146135,0.5558052,-1.037838,-1.267273,0.3347776,0.0662865,0.02181843,311.6902,4.019549,25.47213
291.04,0.0100211,-0.004043011,0.01344301,-0.04927948,0.01662545,-0.01735579,0.1861165,0.06505924,-0.2389736,358.8675,354.4563,1.342257,0.1548193,-0.716924,0.02882226,0.8352827,-1.01088,-1.41214,-0.05057275,-0.2595056,0.01476248,346.9836,314.4371,20.87695,-0.4609347,0.330759,-0.1959716,0.2858068,-0.9517639,-1.263253,0.3294484,0.06973267,0.01978754,311.6903,2.331228,27.21012
304.584,0.01196845,-0.00473384,0.01306114,-0.05807216,0.007654237,-0.0199975,0.1863336,0.06497741,-0.2388361,358.9267,354.4615,1.341456,0.2070324,-0.6806149,0.05425059,0.6096535,-1.250894,-1.101018,-0.04711227,-0.2671855,0.01556808,347.8305,315.6285,20.94921,-0.4662612,0.2835618,-0.1729438,-0.01704018,-0.9203556,-1.260838,0.3242353,0.07261004,0.01795546,312.0558,0.4786807,29.01269
318.878,0.01270289,-0.002641986,0.01337311,-0.04650492,0.004197544,-0.01193084,0.1865285,0.06499774,-0.238673,358.9248,354.4597,1.333037,0.2405209,-0.6568611,0.07046515,0.2986092,-1.320861,-0.9802058,-0.04359446,-0.2747178,0.01624875,348.7825,316.5992,20.62069,-0.46124,0.2502901,-0.1663671,-0.05093423,-0.9298148,-1.241178,0.3192329,0.07559633,0.0156232,312.128,358.8861,30.81384
332.809,0.01249928,-0.0002906845,0.01328622,-0.03610591,0.007189985,2.264725e-05,0.1866974,0.06505664,-0.238492,358.9374,354.446,1.306117,0.2576084,-0.6350367,0.07067829,-0.08039217,-1.1734,-1.022701,-0.03998524,-0.2818401,0.01650684,349.8607,317.0475,19.91646,-0.4362969,0.2374532,-0.1878064,0.2645027,-0.7645962,-1.211965,0.3148282,0.07807026,0.01284201,311.3081,357.7752,32.15961
346.439,0.01230843,-0.0001060826,0.01194063,-0.04331274,0.009946971,-0.002718761,0.1868626,0.06506304,-0.2383594,358.9952,354.4329,1.315462,0.2631129,-0.5931039,0.05781466,-0.4003561,-0.9715347,-0.8394834,-0.03653399,-0.2879794,0.01640159,350.4297,317.4151,19.08862,-0.4036773,0.2254595,-0.2023498,0.4536985,-0.5612702,-1.136785,0.3109246,0.08025739,0.01039424,310.5046,356.8611,33.15553
360.619,0.01241658,-0.003511537,0.009610404,-0.0604479,0.007762161,-0.01398339,0.1870301,0.06491854,-0.2382937,359.0829,354.4317,1.332686,0.2518388,-0.50414,0.02571114,-0.7707661,-0.4721567,-0.3048823,-0.0338545,-0.2927385,0.01596065,349.8284,317.3817,17.84922,-0.3725564,0.2071925,-0.2030839,0.4674289,-0.4420765,-1.071537,0.3075655,0.08224533,0.008229632,309.9884,355.8582,34.15333
374.504,0.01212811,-0.006832576,0.007340466,-0.09123127,-0.003081365,-0.01046662,0.1871715,0.06471104,-0.2382663,359.2122,354.4545,1.297489,0.2209376,-0.426652,-0.002299866,-0.9762513,0.01891653,-0.03416636,-0.03145609,-0.2971507,0.01567635,349.2601,316.9275,16.73618,-0.3225189,0.1826341,-0.1930304,0.3964051,-0.3036744,-0.9249266,0.3053265,0.08402061,0.006318573,309.6801,355.1902,34.70308
388.589,0.01140805,-0.005707089,0.006009349,-0.08936036,-0.01550531,-0.0009561415,0.1872915,0.06463756,-0.2382326,359.2468,354.4873,1.274947,0.1895723,-0.3749594,-0.009609466,-0.9580654,0.1958438,-0.004191546,-0.02965615,-0.3010523,0.01579447,349.1045,316.6248,15.9945,-0.2606983,0.1596945,-0.1776653,0.3301718,-0.1583714,-0.7106553,0.3037387,0.08550217,0.00459433,309.4413,354.9893,34.79154
402.146,0.01052081,-0.002435496,0.00600181,-0.05167723,-0.02111765,0.00296081,0.1874147,0.06468758,-0.2381491,359.2107,354.5074,1.278545,0.1546839,-0.3317772,0.001524289,-0.7246625,0.06206013,-0.1369249,-0.02858457,-0.3041538,0.01625388,349.475,316.6771,15.81598,-0.1986025,0.1388079,-0.1591478,0.2737528,-0.01151673,-0.5072429,0.3027567,0.08666758,0.003160544,309.2195,355.0478,34.57456
416.357,0.01001819,-3.819498e-05,0.005627688,-0.01967999,-0.01767162,-0.004435448,0.1875403,0.06475203,-0.238079,359.1867,354.5105,1.305512,0.1238625,-0.2932564,0.02252401,-0.4149896,-0.2428434,-0.3224017,-0.02806649,-0.3064067,0.01688959,350.2276,317.122,16.02695,-0.1407266,0.1147661,-0.1385554,0.2244307,0.1185177,-0.3484516,0.3023625,0.08732675,0.002091773,309.0044,355.2084,34.20462
430.435,0.009848614,-0.0002702071,0.003744358,-0.01485861,-0.01547413,-0.01219643,0.1876704,0.06476179,-0.2380863,359.2206,354.5194,1.322412,0.0953967,-0.2425041,0.03840498,-0.1923969,-0.4446275,-0.4025302,-0.02783288,-0.3075535,0.01743571,350.8768,317.6225,16.26789,-0.08767187,0.08792128,-0.1142413,0.1501065,0.2099143,-0.2506406,0.3027153,0.08768675,0.001438726,308.872,355.2905,33.84501
443.904,0.01017802,-0.002463772,0.0007174053,-0.03615336,-0.01650361,-0.01456368,0.1878172,0.06469586,-0.2381734,359.3023,354.5353,1.315824,0.06594794,-0.1712872,0.0431031,-0.1154251,-0.4200527,-0.2617599,-0.02794255,-0.307765,0.01789945,350.9528,317.9199,16.29797,-0.03025555,0.06014842,-0.08384014,0.04958851,0.3051584,-0.1194513,0.3038898,0.08776656,0.001354769,308.864,355.5954,33.19884
458.053,0.01096499,-0.004835912,-0.002419457,-0.05866285,-0.01865096,-0.01605754,0.1879874,0.06458219,-0.2383034,359.383,354.552,1.315735,0.02958176,-0.09212669,0.03770491,-0.2117558,-0.1719574,-0.05549208,-0.02851592,-0.3070608,0.01836359,350.6129,317.7808,15.95435,0.03176933,0.03458837,-0.04703315,-0.03439258,0.393393,0.08870632,0.3057111,0.08765514,0.001865521,308.9717,356.3471,32.17356
471.895,0.01175644,-0.005178988,-0.004824458,-0.06833572,-0.01902429,-0.01156833,0.1881718,0.06449814,-0.2384354,359.4401,354.5648,1.302286,-0.01016277,-0.01454818,0.03142802,-0.3503937,0.1229514,0.125975,-0.02954138,-0.3055302,0.01895874,350.0826,317.3902,15.41866,0.09149673,0.00863771,-0.007761195,-0.09215876,0.4348698,0.3080879,0.3080523,0.0871404,0.002741251,309.1832,357.3639,31.0042
