time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,
165.685,-0.0168488,0.0008574876,-0.02975945,-0.0573025,0.05828056,0.01041833,-0.2549401,-0.1594335,1.223357,353.8457,4.031829,357.6111,-0.008998893,-0.006818848,0.01309756,-0.02085196,0.2231069,0.2672476,-0.3463762,-0.5531191,1.649367,3.281739,0.272973,10.51661,0.002181388,-0.05801767,0.006023412,-0.1597723,-0.05192658,-0.2830515,-0.117161,-0.5445685,1.619481,357.3405,343.4488,335.8407,
179.839,-0.01628971,0.0008694509,-0.02904851,-0.03811174,0.05151096,0.003912389,-0.2551386,-0.1594174,1.222989,353.8422,4.000124,357.6183,0.005139082,-0.01295138,0.01348627,-0.0480121,0.1535406,0.3535912,-0.3458705,-0.5533765,1.649828,3.364342,0.1956201,10.09962,0.004476501,-0.08495381,0.02260862,-0.2890577,-0.08112419,-0.6067341,-0.1175494,-0.5454146,1.620305,358.1559,343.7751,336.4703,
193.853,-0.01549905,0.001953217,-0.02803069,-0.0246959,0.04054709,-0.003136961,-0.2553157,-0.1593193,1.222623,353.8426,3.980896,357.6335,0.01696132,-0.01643026,0.01294797,-0.05013132,0.1112349,0.4390535,-0.345302,-0.5536534,1.649769,3.403809,0.1099003,9.613951,0.004968585,-0.09695397,0.03196017,-0.3274119,-0.08991459,-0.7870961,-0.1175373,-0.5462086,1.620463,358.8531,344.0483,337.1028,
207.609,-0.0138975,0.002721346,-0.02615218,-0.00278525,0.02530213,-0.02790877,-0.2554772,-0.1592281,1.222335,353.797,3.974639,357.7003,0.02726119,-0.01838779,0.01137838,-0.03818345,0.07107922,0.5036811,-0.3446356,-0.5539583,1.649994,3.416327,0.05223896,9.106382,0.00737038,-0.09636594,0.03459838,-0.3214295,-0.0689878,-0.785952,-0.1174839,-0.5469266,1.62106,359.3623,344.2135,337.5228,
221.785,-0.0119237,0.00394701,-0.02435152,0.0144438,0.007657843,-0.05484882,-0.2556048,-0.1591329,1.222048,353.7473,3.97545,357.7843,0.03665429,-0.02007817,0.009361201,-0.02141228,0.02186817,0.537766,-0.3439277,-0.554288,1.650019,3.415518,0.05271197,8.618688,0.01631513,-0.08781468,0.0334011,-0.3080006,-0.08693044,-0.6743255,-0.1170597,-0.5475408,1.621188,359.6874,344.4203,337.7412,
235.674,-0.01008251,0.004912796,-0.02258749,0.02436669,-0.01028552,-0.06981818,-0.2556986,-0.1590556,1.221777,353.7074,3.993162,357.8536,0.04351543,-0.01967108,0.00697078,0.01622308,-0.003083676,0.5763392,-0.3432077,-0.5546107,1.65007,3.347283,0.04748207,8.096103,0.02675348,-0.07754859,0.03025627,-0.286144,-0.105466,-0.5089871,-0.1166484,-0.5482021,1.6215,359.8684,344.6129,337.7907,
249.652,-0.007804645,0.005143193,-0.02095339,0.03180233,-0.02403494,-0.07108682,-0.2557417,-0.1589907,1.221516,353.6655,4.01861,357.8974,0.04748233,-0.01904401,0.005253059,0.04263586,-0.007569198,0.6376393,-0.3424682,-0.554968,1.650172,3.268217,0.003321045,7.489166,0.0358203,-0.07254077,0.02846846,-0.2795483,-0.1167322,-0.3906818,-0.1161088,-0.5489912,1.621781,0.05098225,344.8055,337.8073,
263.337,-0.005929516,0.005050843,-0.01940117,0.0369145,-0.04179179,-0.06131689,-0.2557933,-0.1589152,1.221275,353.6245,4.072221,357.9261,0.0496145,-0.01784021,0.004090086,0.07507548,0.007590126,0.7327512,-0.3416524,-0.5553434,1.650144,3.141577,359.9055,6.753088,0.04459428,-0.07454912,0.03016981,-0.313309,-0.1384101,-0.3543662,-0.1155948,-0.549788,1.622256,0.3415397,345.0714,337.8718,
277.509,-0.003823384,0.004784569,-0.01851574,0.03560295,-0.05455958,-0.0550935,-0.2558655,-0.1588327,1.220975,353.5938,4.123703,357.9663,0.05004492,-0.0188123,0.00350542,0.08450347,0.02183333,0.8579174,-0.3409015,-0.5557809,1.650283,3.043774,359.7806,5.871859,0.0508034,-0.07993143,0.03388866,-0.3646155,-0.1499127,-0.3574711,-0.1150775,-0.5506449,1.622698,0.7221942,345.3665,337.9638,
291.491,-0.001392229,0.0044387,-0.01728135,0.0332128,-0.06829727,-0.04850578,-0.2558296,-0.1587698,1.220754,353.5657,4.18957,358.0008,0.05147355,-0.02077749,0.003877521,0.1014658,0.01867463,0.9458515,-0.3400426,-0.5562835,1.650341,2.920771,359.6872,4.971989,0.05362672,-0.08601205,0.03687843,-0.4134003,-0.1440718,-0.3761575,-0.1145633,-0.5515834,1.623226,1.162913,345.6493,338.0747,
